v_upper,v_lower,FCF,overlap,r_centroid_A,transition_moment_integral,vibronic_strength
21,2,1.693864487023e-02,-1.301485492437e-01,2.74037139,-1.301485492437e-01,1.693864487023e-02
21,3,3.061723353115e-04,1.749778086820e-02,2.76222106,1.749778086820e-02,3.061723353115e-04
21,4,1.743104517563e-02,1.320266835743e-01,2.75927221,1.320266835743e-01,1.743104517563e-02
21,5,8.441234729035e-03,9.187619239517e-02,2.76577259,9.187619239517e-02,8.441234729035e-03
21,6,2.865150570945e-03,-5.352710127538e-02,2.78096271,-5.352710127538e-02,2.865150570945e-03
21,7,1.619105085720e-02,-1.272440602040e-01,2.78599693,-1.272440602040e-01,1.619105085720e-02
21,8,1.554409347975e-03,-3.942599837639e-02,2.78946340,-3.942599837639e-02,1.554409347975e-03
21,9,9.208728849443e-03,9.596212195154e-02,2.80680390,9.596212195154e-02,9.208728849443e-03
22,0,1.268774451570e-02,1.126398886527e-01,2.72209185,1.126398886527e-01,1.268774451570e-02
22,1,3.019595468831e-02,1.737698325035e-01,2.72961324,1.737698325035e-01,3.019595468831e-02
22,2,1.239484558315e-02,1.113321408361e-01,2.73650284,1.113321408361e-01,1.239484558315e-02
22,3,1.835990512375e-03,-4.284845986001e-02,2.75113424,-4.284845986001e-02,1.835990512375e-03
22,4,1.829513606711e-02,-1.352595137767e-01,2.75519238,-1.352595137767e-01,1.829513606711e-02
22,5,4.090160785749e-03,-6.395436486862e-02,2.76059955,-6.395436486862e-02,4.090160785749e-03
22,6,6.611318953014e-03,8.131001754405e-02,2.77519817,8.131001754405e-02,6.611318953014e-03
22,7,1.374709494091e-02,1.172480061277e-01,2.78136471,1.172480061277e-01,1.374709494091e-02
22,8,1.234589715613e-08,1.111120927538e-04,0.52063785,1.111120927538e-04,1.234589715613e-08
22,9,1.294533684201e-02,-1.137775761827e-01,2.80166878,-1.137775761827e-01,1.294533684201e-02
23,0,1.409256043445e-02,-1.187120905150e-01,2.71884642,-1.187120905150e-01,1.409256043445e-02
23,1,2.935470837630e-02,-1.713321580331e-01,2.72622247,-1.713321580331e-01,2.935470837630e-02
23,2,8.407515113340e-03,-9.169250303782e-02,2.73263213,-9.169250303782e-02,8.407515113340e-03
23,3,4.195516700935e-03,6.477280834528e-02,2.74577648,6.477280834528e-02,4.195516700935e-03
23,4,1.751402451278e-02,1.323405626132e-01,2.75124988,1.323405626132e-01,1.751402451278e-02
23,5,1.206152675960e-03,3.472970883782e-02,2.75356928,3.472970883782e-02,1.206152675960e-03
23,6,1.026719128533e-02,-1.013271497938e-01,2.77049734,-1.013271497938e-01,1.026719128533e-02
23,7,9.710610876727e-03,-9.854243185921e-02,2.77671755,-9.854243185921e-02,9.710610876727e-03
23,8,1.301267791723e-03,3.607308957828e-02,2.79411316,3.607308957828e-02,1.301267791723e-03
23,9,1.387285715621e-02,1.177830936773e-01,2.79687350,1.177830936773e-01,1.387285715621e-02
